ip,esPublica,estaEnWhitelist,scoreAbuso,pais,codigoPais,isp,tipoDeUso,ultimoReporte
54.144.244.57,True,False,55,,US,Amazon Data Services NoVa,Data Center/Web Hosting/Transit,2023-05-24T06:13:13+00:00
188.166.216.223,True,False,100,,SG,DigitalOcean LLC,Data Center/Web Hosting/Transit,2023-05-30T23:00:19+00:00
220.94.228.162,True,False,100,,KR,KT Corporation,,2023-05-30T04:16:49+00:00
218.92.0.99,True,False,100,,CN,ChinaNet Jiangsu Province Network,Data Center/Web Hosting/Transit,2023-05-31T02:00:38+00:00
116.193.159.2,True,False,100,,HK,Pacswitch Globe Telecom Limited,Data Center/Web Hosting/Transit,2023-05-31T01:49:39+00:00
109.117.92.13,True,False,100,,IT,Vodafone Italia S.p.A.,,2023-05-31T02:45:10+00:00
167.99.112.43,True,False,100,,US,DigitalOcean LLC,Data Center/Web Hosting/Transit,2023-05-27T22:00:11+00:00
89.248.163.219,True,False,100,,NL,FiberXpress BV,Fixed Line ISP,2023-05-31T02:14:21+00:00
143.198.204.177,True,False,100,,SG,DigitalOcean LLC,Data Center/Web Hosting/Transit,2023-05-31T01:57:50+00:00
61.177.173.45,True,False,100,,CN,ChinaNet Jiangsu Province Network,Data Center/Web Hosting/Transit,2023-05-31T02:03:43+00:00
8.222.204.225,True,False,100,,SG,Alibaba.com Singapore E-Commerce Private Limited,Data Center/Web Hosting/Transit,2023-05-30T23:32:48+00:00
220.135.119.188,True,False,100,,TW,Chunghwa Telecom Co. Ltd.,,2023-05-31T02:07:53+00:00
